stock,num_clusters,cluster,mse,rmse,mae,qlike,model
stock 0,1,cluster 1,5.77E-07,0.000684806,0.000588646,0.07858231,ARMA-GARCH
stock 1,1,cluster 1,2.34E-07,0.000432978,0.000374039,0.043364858,ARMA-GARCH
stock 10,1,cluster 1,2.94E-07,0.000462332,0.000385688,0.058704911,ARMA-GARCH
stock 100,1,cluster 1,3.97E-07,0.000563814,0.000497042,0.048492119,ARMA-GARCH
stock 101,1,cluster 1,3.43E-07,0.000504894,0.000435479,0.053899847,ARMA-GARCH
stock 102,1,cluster 1,5.73E-07,0.00064749,0.000553983,0.058786799,ARMA-GARCH
stock 103,1,cluster 1,2.06E-06,0.001128911,0.000951646,0.088498262,ARMA-GARCH
stock 104,1,cluster 1,4.34E-07,0.000489259,0.000411512,0.038404289,ARMA-GARCH
stock 105,1,cluster 1,3.37E-07,0.00045931,0.000366851,0.068237392,ARMA-GARCH
stock 107,1,cluster 1,3.41E-07,0.000497177,0.000417998,0.056477964,ARMA-GARCH
stock 108,1,cluster 1,2.11E-07,0.000389034,0.000311027,0.058912622,ARMA-GARCH
stock 109,1,cluster 1,3.50E-07,0.000522081,0.000448287,0.066875452,ARMA-GARCH
stock 11,1,cluster 1,9.10E-07,0.000802357,0.00069434,0.096625972,ARMA-GARCH
stock 110,1,cluster 1,1.22E-06,0.000910018,0.000748122,0.115762422,ARMA-GARCH
stock 111,1,cluster 1,1.62E-07,0.000357766,0.00030481,0.074106867,ARMA-GARCH
stock 112,1,cluster 1,5.68E-07,0.000703428,0.000604166,0.087231071,ARMA-GARCH
stock 113,1,cluster 1,4.04E-07,0.000544804,0.000486061,0.039211407,ARMA-GARCH
stock 114,1,cluster 1,3.62E-07,0.000538737,0.000448256,0.047423249,ARMA-GARCH
stock 115,1,cluster 1,2.32E-07,0.000398533,0.00035141,0.065798739,ARMA-GARCH
stock 116,1,cluster 1,6.48E-07,0.000702223,0.000596496,0.075460323,ARMA-GARCH
stock 118,1,cluster 1,7.46E-07,0.000736153,0.000645748,0.05224381,ARMA-GARCH
stock 119,1,cluster 1,6.05E-07,0.000626979,0.000533679,0.134477425,ARMA-GARCH
stock 120,1,cluster 1,1.60E-07,0.000348054,0.000300124,0.047443667,ARMA-GARCH
stock 122,1,cluster 1,4.23E-07,0.00054307,0.000465606,0.052238912,ARMA-GARCH
stock 123,1,cluster 1,3.75E-07,0.000447633,0.000379133,0.060585273,ARMA-GARCH
stock 124,1,cluster 1,3.91E-07,0.000520692,0.000453417,0.054934706,ARMA-GARCH
stock 125,1,cluster 1,1.51E-07,0.000338739,0.000303447,0.064798732,ARMA-GARCH
stock 126,1,cluster 1,8.65E-07,0.000707372,0.000627328,0.069944148,ARMA-GARCH
stock 13,1,cluster 1,3.42E-07,0.000440436,0.000379139,0.135337186,ARMA-GARCH
stock 14,1,cluster 1,2.90E-07,0.000465354,0.000384125,0.080837633,ARMA-GARCH
stock 15,1,cluster 1,3.39E-07,0.000504981,0.00044602,0.049970343,ARMA-GARCH
stock 16,1,cluster 1,5.62E-07,0.000639116,0.000533533,0.071500756,ARMA-GARCH
stock 17,1,cluster 1,5.84E-07,0.00065262,0.000563985,0.05555298,ARMA-GARCH
stock 18,1,cluster 1,3.13E-06,0.001581198,0.001357874,0.242117726,ARMA-GARCH
stock 19,1,cluster 1,3.11E-07,0.000468423,0.000396483,0.078611387,ARMA-GARCH
stock 2,1,cluster 1,4.69E-07,0.000474385,0.000405816,0.065122464,ARMA-GARCH
stock 20,1,cluster 1,4.06E-07,0.000574564,0.000495278,0.096821208,ARMA-GARCH
stock 21,1,cluster 1,2.35E-07,0.000399736,0.000337811,0.151323075,ARMA-GARCH
stock 22,1,cluster 1,5.38E-07,0.000664888,0.000592806,0.077900187,ARMA-GARCH
stock 23,1,cluster 1,4.97E-07,0.000622996,0.00056967,0.060096616,ARMA-GARCH
stock 26,1,cluster 1,3.58E-07,0.00050558,0.000458853,0.067375029,ARMA-GARCH
stock 27,1,cluster 1,1.05E-06,0.000898648,0.000751213,0.143033625,ARMA-GARCH
stock 28,1,cluster 1,5.63E-07,0.000576288,0.00048853,0.122184808,ARMA-GARCH
stock 29,1,cluster 1,1.84E-07,0.000355374,0.00031,0.08216687,ARMA-GARCH
stock 3,1,cluster 1,6.85E-07,0.000765621,0.000665367,0.081320465,ARMA-GARCH
stock 30,1,cluster 1,6.85E-07,0.000685798,0.000591815,0.066914287,ARMA-GARCH
stock 31,1,cluster 1,7.63E-07,0.000815855,0.000716012,0.241688042,ARMA-GARCH
stock 32,1,cluster 1,3.09E-07,0.000455655,0.000394919,0.093910755,ARMA-GARCH
stock 33,1,cluster 1,1.82E-06,0.000952928,0.000821752,0.095560798,ARMA-GARCH
stock 34,1,cluster 1,3.67E-07,0.000541384,0.000484165,0.072309779,ARMA-GARCH
stock 35,1,cluster 1,3.10E-07,0.00047162,0.000410778,0.096707003,ARMA-GARCH
stock 36,1,cluster 1,2.43E-07,0.000443411,0.000362568,0.049267298,ARMA-GARCH
stock 37,1,cluster 1,1.12E-06,0.00094554,0.000841839,0.18109157,ARMA-GARCH
stock 38,1,cluster 1,7.16E-07,0.000709069,0.000623817,0.082390173,ARMA-GARCH
stock 39,1,cluster 1,5.26E-07,0.000541017,0.00044272,0.074234975,ARMA-GARCH
stock 4,1,cluster 1,4.96E-07,0.000631492,0.000524881,0.08001772,ARMA-GARCH
stock 40,1,cluster 1,1.88E-06,0.001142024,0.000956676,0.13164189,ARMA-GARCH
stock 41,1,cluster 1,3.26E-07,0.000405635,0.000361787,0.084752417,ARMA-GARCH
stock 42,1,cluster 1,4.62E-07,0.000557906,0.000479763,0.079577496,ARMA-GARCH
stock 43,1,cluster 1,1.11E-07,0.000287239,0.000252605,0.072016186,ARMA-GARCH
stock 44,1,cluster 1,4.10E-07,0.000519665,0.00043806,0.07508896,ARMA-GARCH
stock 46,1,cluster 1,4.33E-07,0.000427269,0.000355387,0.08325055,ARMA-GARCH
stock 47,1,cluster 1,2.31E-07,0.000377043,0.000315909,0.081525957,ARMA-GARCH
stock 48,1,cluster 1,2.55E-07,0.000453448,0.000376033,0.05889609,ARMA-GARCH
stock 5,1,cluster 1,7.63E-07,0.000798879,0.000682395,0.099730232,ARMA-GARCH
stock 50,1,cluster 1,1.94E-07,0.00038232,0.000333459,0.050640248,ARMA-GARCH
stock 51,1,cluster 1,3.01E-07,0.000417088,0.000352831,0.080713635,ARMA-GARCH
stock 52,1,cluster 1,4.70E-07,0.000550771,0.000465643,0.058834756,ARMA-GARCH
stock 53,1,cluster 1,3.02E-07,0.000495772,0.000405193,0.070473091,ARMA-GARCH
stock 55,1,cluster 1,5.60E-07,0.00068707,0.00060248,0.077730293,ARMA-GARCH
stock 56,1,cluster 1,4.66E-07,0.000628018,0.00056419,0.049185679,ARMA-GARCH
stock 58,1,cluster 1,9.37E-07,0.000759767,0.000664934,0.106742933,ARMA-GARCH
stock 59,1,cluster 1,5.18E-07,0.000603366,0.000507904,0.071938275,ARMA-GARCH
stock 6,1,cluster 1,8.77E-07,0.000870213,0.000732239,0.065819606,ARMA-GARCH
stock 60,1,cluster 1,4.10E-07,0.000535366,0.00046669,0.069595478,ARMA-GARCH
stock 61,1,cluster 1,2.60E-07,0.000456053,0.00039534,0.038724366,ARMA-GARCH
stock 62,1,cluster 1,4.63E-07,0.00060917,0.000543194,0.052162579,ARMA-GARCH
stock 63,1,cluster 1,1.85E-07,0.000402606,0.000342068,0.056337309,ARMA-GARCH
stock 64,1,cluster 1,3.20E-07,0.00043714,0.000376904,0.076996568,ARMA-GARCH
stock 66,1,cluster 1,3.55E-07,0.000553611,0.000474141,0.071342104,ARMA-GARCH
stock 67,1,cluster 1,1.83E-07,0.000380143,0.000340246,0.048409655,ARMA-GARCH
stock 68,1,cluster 1,4.46E-07,0.000549306,0.00046029,0.062007163,ARMA-GARCH
stock 69,1,cluster 1,2.74E-07,0.000440892,0.000373089,0.052024591,ARMA-GARCH
stock 7,1,cluster 1,3.88E-07,0.000574027,0.000503187,0.088209821,ARMA-GARCH
stock 70,1,cluster 1,4.08E-07,0.000515617,0.00042403,0.076610856,ARMA-GARCH
stock 72,1,cluster 1,3.43E-07,0.000507155,0.000433745,0.069222804,ARMA-GARCH
stock 73,1,cluster 1,3.62E-07,0.000532028,0.000461009,0.04822804,ARMA-GARCH
stock 74,1,cluster 1,3.12E-07,0.000465039,0.000386431,0.06797717,ARMA-GARCH
stock 75,1,cluster 1,2.50E-06,0.001388007,0.001177378,0.185211584,ARMA-GARCH
stock 76,1,cluster 1,2.11E-07,0.000408855,0.000348637,0.031102646,ARMA-GARCH
stock 77,1,cluster 1,3.30E-07,0.000430755,0.000362018,0.058973029,ARMA-GARCH
stock 78,1,cluster 1,3.97E-07,0.000572395,0.000491733,0.065873152,ARMA-GARCH
stock 8,1,cluster 1,4.67E-07,0.000599816,0.000515434,0.086617788,ARMA-GARCH
stock 80,1,cluster 1,3.71E-06,0.00152276,0.001211382,0.170629316,ARMA-GARCH
stock 81,1,cluster 1,3.31E-07,0.000532518,0.000453818,0.172793555,ARMA-GARCH
stock 82,1,cluster 1,2.06E-07,0.000427848,0.000351958,0.081924042,ARMA-GARCH
stock 83,1,cluster 1,8.75E-07,0.00077724,0.000598085,0.133126292,ARMA-GARCH
stock 84,1,cluster 1,1.92E-07,0.000391661,0.000339766,0.040409864,ARMA-GARCH
stock 85,1,cluster 1,3.31E-07,0.000445783,0.000399648,0.071217753,ARMA-GARCH
stock 86,1,cluster 1,1.17E-07,0.000312256,0.000266537,0.055267783,ARMA-GARCH
stock 87,1,cluster 1,6.54E-07,0.000636853,0.000545788,0.059786849,ARMA-GARCH
stock 88,1,cluster 1,6.27E-07,0.000707169,0.000600041,0.060795055,ARMA-GARCH
stock 89,1,cluster 1,6.41E-07,0.000578512,0.00050363,0.083360385,ARMA-GARCH
stock 9,1,cluster 1,9.89E-07,0.000860527,0.000731423,0.126443183,ARMA-GARCH
stock 90,1,cluster 1,6.51E-07,0.000715016,0.000625966,0.069881399,ARMA-GARCH
stock 93,1,cluster 1,2.86E-07,0.000389999,0.000343714,0.071151694,ARMA-GARCH
stock 94,1,cluster 1,2.86E-07,0.000468645,0.000379779,0.047991607,ARMA-GARCH
stock 95,1,cluster 1,2.94E-07,0.000458568,0.000406725,0.061794236,ARMA-GARCH
stock 96,1,cluster 1,4.65E-07,0.000597736,0.0004911,0.102586467,ARMA-GARCH
stock 97,1,cluster 1,8.55E-07,0.000832524,0.000726248,0.078174786,ARMA-GARCH
stock 98,1,cluster 1,8.84E-07,0.000833771,0.000690919,0.102160218,ARMA-GARCH
stock 99,1,cluster 1,3.34E-07,0.000496944,0.000436932,0.096686817,ARMA-GARCH
stock 0,2,cluster 1,5.77E-07,0.000684806,0.000588646,0.07858231,ARMA-GARCH
stock 1,2,cluster 2,2.34E-07,0.000432978,0.000374039,0.043364858,ARMA-GARCH
stock 10,2,cluster 2,2.94E-07,0.000462332,0.000385688,0.058704911,ARMA-GARCH
stock 100,2,cluster 2,3.97E-07,0.000563814,0.000497042,0.048492119,ARMA-GARCH
stock 101,2,cluster 1,3.43E-07,0.000504894,0.000435479,0.053899847,ARMA-GARCH
stock 102,2,cluster 1,5.73E-07,0.00064749,0.000553983,0.058786799,ARMA-GARCH
stock 103,2,cluster 2,2.06E-06,0.001128911,0.000951646,0.088498262,ARMA-GARCH
stock 104,2,cluster 2,4.34E-07,0.000489259,0.000411512,0.038404289,ARMA-GARCH
stock 105,2,cluster 2,3.37E-07,0.00045931,0.000366851,0.068237392,ARMA-GARCH
stock 107,2,cluster 1,3.41E-07,0.000497177,0.000417998,0.056477964,ARMA-GARCH
stock 108,2,cluster 2,2.11E-07,0.000389034,0.000311027,0.058912622,ARMA-GARCH
stock 109,2,cluster 2,3.50E-07,0.000522081,0.000448287,0.066875452,ARMA-GARCH
stock 11,2,cluster 2,9.10E-07,0.000802357,0.00069434,0.096625972,ARMA-GARCH
stock 110,2,cluster 1,1.22E-06,0.000910018,0.000748122,0.115762422,ARMA-GARCH
stock 111,2,cluster 1,1.62E-07,0.000357766,0.00030481,0.074106867,ARMA-GARCH
stock 112,2,cluster 2,5.68E-07,0.000703428,0.000604166,0.087231071,ARMA-GARCH
stock 113,2,cluster 1,4.04E-07,0.000544804,0.000486061,0.039211407,ARMA-GARCH
stock 114,2,cluster 2,3.62E-07,0.000538737,0.000448256,0.047423249,ARMA-GARCH
stock 115,2,cluster 1,2.32E-07,0.000398533,0.00035141,0.065798739,ARMA-GARCH
stock 116,2,cluster 2,6.48E-07,0.000702223,0.000596496,0.075460323,ARMA-GARCH
stock 118,2,cluster 1,7.46E-07,0.000736153,0.000645748,0.05224381,ARMA-GARCH
stock 119,2,cluster 2,6.05E-07,0.000626979,0.000533679,0.134477425,ARMA-GARCH
stock 120,2,cluster 1,1.60E-07,0.000348054,0.000300124,0.047443667,ARMA-GARCH
stock 122,2,cluster 1,4.23E-07,0.00054307,0.000465606,0.052238912,ARMA-GARCH
stock 123,2,cluster 2,3.75E-07,0.000447633,0.000379133,0.060585273,ARMA-GARCH
stock 124,2,cluster 2,3.91E-07,0.000520692,0.000453417,0.054934706,ARMA-GARCH
stock 125,2,cluster 1,1.51E-07,0.000338739,0.000303447,0.064798732,ARMA-GARCH
stock 126,2,cluster 2,8.65E-07,0.000707372,0.000627328,0.069944148,ARMA-GARCH
stock 13,2,cluster 1,3.42E-07,0.000440436,0.000379139,0.135337186,ARMA-GARCH
stock 14,2,cluster 2,2.90E-07,0.000465354,0.000384125,0.080837633,ARMA-GARCH
stock 15,2,cluster 1,3.39E-07,0.000504981,0.00044602,0.049970343,ARMA-GARCH
stock 16,2,cluster 1,5.62E-07,0.000639116,0.000533533,0.071500756,ARMA-GARCH
stock 17,2,cluster 2,5.84E-07,0.00065262,0.000563985,0.05555298,ARMA-GARCH
stock 18,2,cluster 2,3.13E-06,0.001581198,0.001357874,0.242117726,ARMA-GARCH
stock 19,2,cluster 2,3.11E-07,0.000468423,0.000396483,0.078611387,ARMA-GARCH
stock 2,2,cluster 1,4.69E-07,0.000474385,0.000405816,0.065122464,ARMA-GARCH
stock 20,2,cluster 2,4.06E-07,0.000574564,0.000495278,0.096821208,ARMA-GARCH
stock 21,2,cluster 2,2.35E-07,0.000399736,0.000337811,0.151323075,ARMA-GARCH
stock 22,2,cluster 2,5.38E-07,0.000664888,0.000592806,0.077900187,ARMA-GARCH
stock 23,2,cluster 1,4.97E-07,0.000622996,0.00056967,0.060096616,ARMA-GARCH
stock 26,2,cluster 1,3.58E-07,0.00050558,0.000458853,0.067375029,ARMA-GARCH
stock 27,2,cluster 2,1.05E-06,0.000898648,0.000751213,0.143033625,ARMA-GARCH
stock 28,2,cluster 2,5.63E-07,0.000576288,0.00048853,0.122184808,ARMA-GARCH
stock 29,2,cluster 1,1.84E-07,0.000355374,0.00031,0.08216687,ARMA-GARCH
stock 3,2,cluster 1,6.85E-07,0.000765621,0.000665367,0.081320465,ARMA-GARCH
stock 30,2,cluster 2,6.85E-07,0.000685798,0.000591815,0.066914287,ARMA-GARCH
stock 31,2,cluster 1,7.63E-07,0.000815855,0.000716012,0.241688042,ARMA-GARCH
stock 32,2,cluster 1,3.09E-07,0.000455655,0.000394919,0.093910755,ARMA-GARCH
stock 33,2,cluster 1,1.82E-06,0.000952928,0.000821752,0.095560798,ARMA-GARCH
stock 34,2,cluster 1,3.67E-07,0.000541384,0.000484165,0.072309779,ARMA-GARCH
stock 35,2,cluster 2,3.10E-07,0.00047162,0.000410778,0.096707003,ARMA-GARCH
stock 36,2,cluster 2,2.43E-07,0.000443411,0.000362568,0.049267298,ARMA-GARCH
stock 37,2,cluster 2,1.12E-06,0.00094554,0.000841839,0.18109157,ARMA-GARCH
stock 38,2,cluster 1,7.16E-07,0.000709069,0.000623817,0.082390173,ARMA-GARCH
stock 39,2,cluster 1,5.26E-07,0.000541017,0.00044272,0.074234975,ARMA-GARCH
stock 4,2,cluster 1,4.96E-07,0.000631492,0.000524881,0.08001772,ARMA-GARCH
stock 40,2,cluster 2,1.88E-06,0.001142024,0.000956676,0.13164189,ARMA-GARCH
stock 41,2,cluster 2,3.26E-07,0.000405635,0.000361787,0.084752417,ARMA-GARCH
stock 42,2,cluster 2,4.62E-07,0.000557906,0.000479763,0.079577496,ARMA-GARCH
stock 43,2,cluster 2,1.11E-07,0.000287239,0.000252605,0.072016186,ARMA-GARCH
stock 44,2,cluster 2,4.10E-07,0.000519665,0.00043806,0.07508896,ARMA-GARCH
stock 46,2,cluster 2,4.33E-07,0.000427269,0.000355387,0.08325055,ARMA-GARCH
stock 47,2,cluster 1,2.31E-07,0.000377043,0.000315909,0.081525957,ARMA-GARCH
stock 48,2,cluster 2,2.55E-07,0.000453448,0.000376033,0.05889609,ARMA-GARCH
stock 5,2,cluster 1,7.63E-07,0.000798879,0.000682395,0.099730232,ARMA-GARCH
stock 50,2,cluster 1,1.94E-07,0.00038232,0.000333459,0.050640248,ARMA-GARCH
stock 51,2,cluster 2,3.01E-07,0.000417088,0.000352831,0.080713635,ARMA-GARCH
stock 52,2,cluster 2,4.70E-07,0.000550771,0.000465643,0.058834756,ARMA-GARCH
stock 53,2,cluster 2,3.02E-07,0.000495772,0.000405193,0.070473091,ARMA-GARCH
stock 55,2,cluster 1,5.60E-07,0.00068707,0.00060248,0.077730293,ARMA-GARCH
stock 56,2,cluster 1,4.66E-07,0.000628018,0.00056419,0.049185679,ARMA-GARCH
stock 58,2,cluster 1,9.37E-07,0.000759767,0.000664934,0.106742933,ARMA-GARCH
stock 59,2,cluster 2,5.18E-07,0.000603366,0.000507904,0.071938275,ARMA-GARCH
stock 6,2,cluster 2,8.77E-07,0.000870213,0.000732239,0.065819606,ARMA-GARCH
stock 60,2,cluster 2,4.10E-07,0.000535366,0.00046669,0.069595478,ARMA-GARCH
stock 61,2,cluster 2,2.60E-07,0.000456053,0.00039534,0.038724366,ARMA-GARCH
stock 62,2,cluster 2,4.63E-07,0.00060917,0.000543194,0.052162579,ARMA-GARCH
stock 63,2,cluster 2,1.85E-07,0.000402606,0.000342068,0.056337309,ARMA-GARCH
stock 64,2,cluster 2,3.20E-07,0.00043714,0.000376904,0.076996568,ARMA-GARCH
stock 66,2,cluster 2,3.55E-07,0.000553611,0.000474141,0.071342104,ARMA-GARCH
stock 67,2,cluster 1,1.83E-07,0.000380143,0.000340246,0.048409655,ARMA-GARCH
stock 68,2,cluster 2,4.46E-07,0.000549306,0.00046029,0.062007163,ARMA-GARCH
stock 69,2,cluster 2,2.74E-07,0.000440892,0.000373089,0.052024591,ARMA-GARCH
stock 7,2,cluster 1,3.88E-07,0.000574027,0.000503187,0.088209821,ARMA-GARCH
stock 70,2,cluster 1,4.08E-07,0.000515617,0.00042403,0.076610856,ARMA-GARCH
stock 72,2,cluster 1,3.43E-07,0.000507155,0.000433745,0.069222804,ARMA-GARCH
stock 73,2,cluster 1,3.62E-07,0.000532028,0.000461009,0.04822804,ARMA-GARCH
stock 74,2,cluster 2,3.12E-07,0.000465039,0.000386431,0.06797717,ARMA-GARCH
stock 75,2,cluster 1,2.50E-06,0.001388007,0.001177378,0.185211584,ARMA-GARCH
stock 76,2,cluster 2,2.11E-07,0.000408855,0.000348637,0.031102646,ARMA-GARCH
stock 77,2,cluster 1,3.30E-07,0.000430755,0.000362018,0.058973029,ARMA-GARCH
stock 78,2,cluster 2,3.97E-07,0.000572395,0.000491733,0.065873152,ARMA-GARCH
stock 8,2,cluster 1,4.67E-07,0.000599816,0.000515434,0.086617788,ARMA-GARCH
stock 80,2,cluster 2,3.71E-06,0.00152276,0.001211382,0.170629316,ARMA-GARCH
stock 81,2,cluster 1,3.31E-07,0.000532518,0.000453818,0.172793555,ARMA-GARCH
stock 82,2,cluster 2,2.06E-07,0.000427848,0.000351958,0.081924042,ARMA-GARCH
stock 83,2,cluster 1,8.75E-07,0.00077724,0.000598085,0.133126292,ARMA-GARCH
stock 84,2,cluster 2,1.92E-07,0.000391661,0.000339766,0.040409864,ARMA-GARCH
stock 85,2,cluster 2,3.31E-07,0.000445783,0.000399648,0.071217753,ARMA-GARCH
stock 86,2,cluster 2,1.17E-07,0.000312256,0.000266537,0.055267783,ARMA-GARCH
stock 87,2,cluster 1,6.54E-07,0.000636853,0.000545788,0.059786849,ARMA-GARCH
stock 88,2,cluster 1,6.27E-07,0.000707169,0.000600041,0.060795055,ARMA-GARCH
stock 89,2,cluster 2,6.41E-07,0.000578512,0.00050363,0.083360385,ARMA-GARCH
stock 9,2,cluster 2,9.89E-07,0.000860527,0.000731423,0.126443183,ARMA-GARCH
stock 90,2,cluster 1,6.51E-07,0.000715016,0.000625966,0.069881399,ARMA-GARCH
stock 93,2,cluster 1,2.86E-07,0.000389999,0.000343714,0.071151694,ARMA-GARCH
stock 94,2,cluster 1,2.86E-07,0.000468645,0.000379779,0.047991607,ARMA-GARCH
stock 95,2,cluster 2,2.94E-07,0.000458568,0.000406725,0.061794236,ARMA-GARCH
stock 96,2,cluster 1,4.65E-07,0.000597736,0.0004911,0.102586467,ARMA-GARCH
stock 97,2,cluster 1,8.55E-07,0.000832524,0.000726248,0.078174786,ARMA-GARCH
stock 98,2,cluster 1,8.84E-07,0.000833771,0.000690919,0.102160218,ARMA-GARCH
stock 99,2,cluster 1,3.34E-07,0.000496944,0.000436932,0.096686817,ARMA-GARCH
stock 0,3,cluster 1,5.77E-07,0.000684806,0.000588646,0.07858231,ARMA-GARCH
stock 1,3,cluster 3,2.34E-07,0.000432978,0.000374039,0.043364858,ARMA-GARCH
stock 10,3,cluster 3,2.94E-07,0.000462332,0.000385688,0.058704911,ARMA-GARCH
stock 100,3,cluster 3,3.97E-07,0.000563814,0.000497042,0.048492119,ARMA-GARCH
stock 101,3,cluster 1,3.43E-07,0.000504894,0.000435479,0.053899847,ARMA-GARCH
stock 102,3,cluster 1,5.73E-07,0.00064749,0.000553983,0.058786799,ARMA-GARCH
stock 103,3,cluster 2,2.06E-06,0.001128911,0.000951646,0.088498262,ARMA-GARCH
stock 104,3,cluster 3,4.34E-07,0.000489259,0.000411512,0.038404289,ARMA-GARCH
stock 105,3,cluster 3,3.37E-07,0.00045931,0.000366851,0.068237392,ARMA-GARCH
stock 107,3,cluster 2,3.41E-07,0.000497177,0.000417998,0.056477964,ARMA-GARCH
stock 108,3,cluster 3,2.11E-07,0.000389034,0.000311027,0.058912622,ARMA-GARCH
stock 109,3,cluster 3,3.50E-07,0.000522081,0.000448287,0.066875452,ARMA-GARCH
stock 11,3,cluster 3,9.10E-07,0.000802357,0.00069434,0.096625972,ARMA-GARCH
stock 110,3,cluster 1,1.22E-06,0.000910018,0.000748122,0.115762422,ARMA-GARCH
stock 111,3,cluster 1,1.62E-07,0.000357766,0.00030481,0.074106867,ARMA-GARCH
stock 112,3,cluster 3,5.68E-07,0.000703428,0.000604166,0.087231071,ARMA-GARCH
stock 113,3,cluster 1,4.04E-07,0.000544804,0.000486061,0.039211407,ARMA-GARCH
stock 114,3,cluster 2,3.62E-07,0.000538737,0.000448256,0.047423249,ARMA-GARCH
stock 115,3,cluster 2,2.32E-07,0.000398533,0.00035141,0.065798739,ARMA-GARCH
stock 116,3,cluster 2,6.48E-07,0.000702223,0.000596496,0.075460323,ARMA-GARCH
stock 118,3,cluster 1,7.46E-07,0.000736153,0.000645748,0.05224381,ARMA-GARCH
stock 119,3,cluster 2,6.05E-07,0.000626979,0.000533679,0.134477425,ARMA-GARCH
stock 120,3,cluster 1,1.60E-07,0.000348054,0.000300124,0.047443667,ARMA-GARCH
stock 122,3,cluster 2,4.23E-07,0.00054307,0.000465606,0.052238912,ARMA-GARCH
stock 123,3,cluster 3,3.75E-07,0.000447633,0.000379133,0.060585273,ARMA-GARCH
stock 124,3,cluster 3,3.91E-07,0.000520692,0.000453417,0.054934706,ARMA-GARCH
stock 125,3,cluster 2,1.51E-07,0.000338739,0.000303447,0.064798732,ARMA-GARCH
stock 126,3,cluster 3,8.65E-07,0.000707372,0.000627328,0.069944148,ARMA-GARCH
stock 13,3,cluster 1,3.42E-07,0.000440436,0.000379139,0.135337186,ARMA-GARCH
stock 14,3,cluster 3,2.90E-07,0.000465354,0.000384125,0.080837633,ARMA-GARCH
